!  List here the gas phase species used in MISTRA							
!  Blank lines or lines starting with an exclamation mark are ignored							
							
! The first column contains the index of the gas used in MISTRA.							
!    The indexes need to be sorted with increasing numbers							
!    It is possible to comment out some lines and keep the following indexes unchanged							
!    The max index actually used should be identical to 'j1_max' specified in 'gas_species.dat'							
!    The total number of gases actually used (i.e. not commented in the list) will be automatically exported as 'j1_used'							
							
! The second column displays the name of the gas as written in the KPP mechanism.							
!    A maximum of 12 characters is currently allowed, as is in KPP-2.2.3 (Fortran77 output)							
!    (this upper limit can be increased in common_modules.f)							
							
! The third column holds the molecular mass of the gas ( in kg.mol-1 )							
! The fourth and fifth columns holds the initial mixing ratios at ground and top levels in nmol mol-1 (ppb)							
! The sixth column holds the emission rate (in molecules/cm**2/s)							
							
! The seventh column holds the long name for netcdf output.							
!    A maximum of 100 characters is currently allowed							
!    (this upper limit can be increased in common_modules.f)							
							
! Nb	Name     	Mass  	Ground	Top	Emission rate	Long name        	Comment
! #	(12 char)	kg/mol	ppb   	ppb	mlc/cm**2/s	Use _ as space delimiter	
							
57	CH2I2	268E-03	0.0	0.0	0.0	diiodomethane_(gas_phase)	
58	CH2ClI	176E-03	0.0	0.0	0.0	chloroiodomethane_(gas_phase)	
59	C3H7I	170E-03	0.001	0.001	0.0	2-iodopropane_(gas_phase)	
60	DMSO	78E-03	0.0	0.0	0.0	CH3SOCH3_or_DMSO_(gas_phase)	
61	CH3SO2	79E-03	0.0	0.0	0.0	CH3SO2_(gas_phase)	! NOT CH3SOO
62	CH3SO3	95E-03	0.0	0.0	0.0	CH3S(OO)OH_or_MSA_(gas_phase)	
63	CH3SO3H	96E-03	0.0	0.0	0.0	CH3SO3H_(gas_phase)	
64	CO	28E-03	130.0	130.0	0.0	carbon_monoxide_(gas_phase)	
65	Cl2O2	103E-03	0.0	0.0	0.0	Cl2O2_(gas_phase)	
66	DMOO	93E-03	0.0	0.0	0.0	CH3SCH3OO_or_DMOO_(gas_phase)	
67	CH3S	47E-03	0.0	0.0	0.0	CH3S_(gas_phase)	
68	CH3SO	63E-03	0.0	0.0	0.0	CH3SO_(gas_phase)	
69	CH3SO2H	80E-03	0.0	0.0	0.0	CH3S(O)OH_or_MSIA_(gas_phase)	
70	DMSO2	94E-03	0.0	0.0	0.0	CH3S(O)(O)CH3_or_DMSO2_(gas_phase)	
71	CH2BrI	221E-03	0.0	0.0	0.0	bromoiodomethane_(gas_phase)	
