 O2-cr --------  interval 0/1
  8.9367E-27  7.1961E-27  5.7886E-27  4.6628E-27  3.7531E-27  3.0158E-27
  2.4122E-27  1.9165E-27  1.5073E-27  1.1775E-27  9.1771E-28  7.1154E-28
  5.5380E-28  4.3750E-28  3.4529E-28  2.8051E-28  2.2880E-28  1.8978E-28
  1.5405E-28  1.2364E-28  9.6713E-29  7.3390E-29  5.4118E-29  3.8451E-29
  2.7673E-29  1.9883E-29  1.3634E-29  9.7726E-30  6.7255E-30  3.8816E-30
  3.2439E-30  1.9603E-30  1.3888E-30  1.8443E-30
 N2O
 -1.4967E-21 -1.6145E-21 -1.7345E-21 -1.8576E-21 -1.9819E-21 -2.1096E-21
 -2.2391E-21 -2.3716E-21 -2.5066E-21 -2.6458E-21 -3.1274E-21 -3.2539E-21
 -3.4872E-21 -3.4897E-21 -3.6001E-21 -3.8023E-21 -3.7850E-21 -3.8602E-21
 -4.0151E-21 -3.9702E-21 -4.0117E-21 -4.1199E-21 -3.9894E-21 -3.8818E-21
 -3.9223E-21 -3.9569E-21 -3.9824E-21 -3.9949E-21 -3.9942E-21 -3.9761E-21
 -3.9426E-21 -3.8993E-21 -3.8439E-21 -3.7928E-21 -3.7424E-21 -3.7024E-21
 -3.6751E-21 -3.6555E-21 -3.6438E-21 -3.6289E-21 -3.5975E-21 -3.5419E-21
 -3.4487E-21 -3.3156E-21 -3.1453E-21 -2.9469E-21 -2.7349E-21 -2.5201E-21
 -2.3079E-21 -2.1013E-21 -1.8961E-21 -1.6901E-21 -1.4798E-21 -1.2619E-21
 -1.0128E-21 -6.9312E-22 -2.3669E-22  2.4787E-22
  1.3602E-19  1.4128E-19  1.4667E-19  1.5223E-19  1.5786E-19  1.6367E-19
  1.6959E-19  1.7567E-19  1.8189E-19  1.8833E-19  2.1073E-19  2.1664E-19
  2.2758E-19  2.2770E-19  2.3292E-19  2.4253E-19  2.4170E-19  2.4530E-19
  2.5275E-19  2.5058E-19  2.5260E-19  2.5786E-19  2.5148E-19  2.4620E-19
  2.4820E-19  2.4991E-19  2.5118E-19  2.5180E-19  2.5177E-19  2.5086E-19
  2.4916E-19  2.4697E-19  2.4415E-19  2.4154E-19  2.3895E-19  2.3689E-19
  2.3548E-19  2.3446E-19  2.3386E-19  2.3307E-19  2.3143E-19  2.2849E-19
  2.2357E-19  2.1650E-19  2.0742E-19  1.9681E-19  1.8542E-19  1.7384E-19
  1.6237E-19  1.5114E-19  1.3996E-19  1.2870E-19  1.1715E-19  1.0514E-19
  9.1368E-20  7.3625E-20  4.8202E-20  2.1115E-20
  5.5702E-24  5.9747E-24  6.3784E-24  6.7927E-24  7.2005E-24  7.6126E-24
  8.0219E-24  8.4394E-24  8.8454E-24  9.2743E-24  1.4755E-23  1.4759E-23
  1.6228E-23  1.4577E-23  1.4485E-23  1.5591E-23  1.4075E-23  1.3837E-23
  1.4570E-23  1.3158E-23  1.2809E-23  1.3217E-23  1.1240E-23  9.6058E-24
  9.5179E-24  9.4148E-24  9.2920E-24  9.1451E-24  8.9661E-24  8.7552E-24
  8.5154E-24  8.2572E-24  7.9760E-24  7.7191E-24  7.4658E-24  7.2457E-24
  7.0580E-24  6.8821E-24  6.7252E-24  6.5579E-24  6.3381E-24  6.0689E-24
  5.7080E-24  5.2753E-24  4.7831E-24  4.2565E-24  3.7385E-24  3.2515E-24
  2.7984E-24  2.3911E-24  2.0066E-24  1.6544E-24  1.3228E-24  1.0367E-24
  7.7695E-25  5.4607E-25  3.1657E-25  8.9543E-26
 -3.3990E-22 -3.5798E-22 -3.7611E-22 -3.9479E-22 -4.1327E-22 -4.3202E-22
 -4.5072E-22 -4.6988E-22 -4.8860E-22 -5.0846E-22 -7.6330E-22 -7.6349E-22
