# <table of temperatures for interpolation of planck-function>
  0.37984783E+02  0.40885625E+02  0.43896891E+02  0.47017307E+02  0.50245505E+02  0.53580038E+02  0.57019390E+02  0.60561991E+02
  0.64206219E+02  0.67950417E+02  0.71792894E+02  0.75731940E+02  0.79765823E+02  0.83892804E+02  0.88111139E+02  0.92419079E+02
  0.70949630E+01  0.81719762E+01  0.93420375E+01  0.10606075E+02  0.11964664E+02  0.13418052E+02  0.14966197E+02  0.16608792E+02
  0.18345294E+02  0.20174955E+02  0.22096844E+02  0.24109871E+02  0.26212812E+02  0.28404328E+02  0.30682982E+02  0.33047255E+02
  0.35495567E+02  0.38026284E+02  0.40637732E+02  0.43328211E+02  0.46096001E+02  0.48939369E+02  0.51856583E+02  0.54845912E+02
  0.57905633E+02  0.61034040E+02  0.64229441E+02  0.67490168E+02  0.70814577E+02  0.74201050E+02  0.77647997E+02  0.81153862E+02
  0.84717118E+02  0.88336270E+02  0.92009859E+02  0.11061249E+02  0.12366630E+02  0.13746653E+02  0.15199892E+02  0.16724796E+02
  0.18319718E+02  0.19982938E+02  0.21712683E+02  0.23507147E+02  0.25364505E+02  0.27282928E+02  0.29260589E+02  0.31295679E+02
  0.33386410E+02  0.35531022E+02  0.37727790E+02  0.39975024E+02  0.42271076E+02  0.44614342E+02  0.47003260E+02  0.49436314E+02
  0.51912035E+02  0.54429000E+02  0.56985833E+02  0.59581202E+02  0.62213822E+02  0.64882453E+02  0.67585897E+02  0.70323001E+02
  0.73092650E+02  0.75893775E+02  0.78725341E+02  0.81586354E+02  0.84475857E+02  0.87392927E+02  0.10950981E+02  0.11919712E+02
  0.12920238E+02  0.13951151E+02  0.15011093E+02  0.16098757E+02  0.17212886E+02  0.18352281E+02  0.19515793E+02  0.20702326E+02
  0.21910838E+02  0.23140334E+02  0.24389869E+02  0.25658546E+02  0.26945511E+02  0.28249954E+02  0.29571106E+02  0.30908237E+02
  0.32260653E+02  0.33627697E+02  0.35008744E+02  0.36403202E+02  0.37810509E+02  0.39230129E+02  0.40661556E+02  0.42104307E+02
  0.43557926E+02  0.45021975E+02  0.46496041E+02  0.47979732E+02  0.49472671E+02  0.50974503E+02  0.52484887E+02  0.54003502E+02
  0.55530039E+02  0.12572183E+02  0.13313336E+02  0.14064165E+02  0.14824058E+02  0.15592450E+02  0.16368818E+02  0.17152681E+02
  0.17943589E+02  0.18741129E+02  0.19544916E+02  0.20354593E+02  0.21169829E+02  0.21990315E+02  0.22815765E+02  0.23645911E+02
  0.24480504E+02  0.25319312E+02  0.26162117E+02  0.27008717E+02  0.27858921E+02  0.28712552E+02  0.29569443E+02  0.30429438E+02
  0.31292390E+02  0.32158160E+02  0.33026620E+02  0.33897648E+02  0.34771127E+02  0.35646951E+02  0.36525016E+02  0.37405227E+02
  0.38287492E+02  0.39171724E+02  0.40057844E+02  0.40945773E+02
# <table of effective droplet radius for interpolation>
  0.41800000E-05  0.53600000E-05  0.58900000E-05  0.61600000E-05  0.92700000E-05  0.98400000E-05  0.12100000E-04  0.31230000E-04
# <table of liqid water density>
  0.50000000E-04  0.14000000E-03  0.22000000E-03  0.28000000E-03  0.50000000E-03  0.47000000E-03  0.10000000E-02  0.25000000E-02
# <table of extinction coefficients for water>
  0.15110000E-01  0.40250000E-01  0.59810000E-01  0.72430000E-01  0.83690000E-01  0.73990000E-01  0.12817000E+00  0.12091000E+00
  0.15740000E-01  0.41700000E-01  0.61520000E-01  0.74470000E-01  0.85780000E-01  0.75590000E-01  0.13046000E+00  0.12184000E+00
  0.16380000E-01  0.43520000E-01  0.64840000E-01  0.77970000E-01  0.87310000E-01  0.77360000E-01  0.13430000E+00  0.12406000E+00
  0.17570000E-01  0.45780000E-01  0.66440000E-01  0.80150000E-01  0.90490000E-01  0.79900000E-01  0.13756000E+00  0.12592000E+00
  0.18190000E-01  0.46630000E-01  0.69390000E-01  0.82200000E-01  0.91460000E-01  0.79990000E-01  0.13821000E+00  0.12608000E+00
  0.21300000E-01  0.51880000E-01  0.77770000E-01  0.87020000E-01  0.94910000E-01  0.83550000E-01  0.14346000E+00  0.12845000E+00
  0.22440000E-01  0.57350000E-01  0.84410000E-01  0.10350000E+00  0.10349000E+00  0.84170000E-01  0.15277000E+00  0.13207000E+00
  0.18320000E-01  0.52690000E-01  0.76670000E-01  0.10031000E+00  0.10546000E+00  0.92860000E-01  0.15782000E+00  0.13303000E+00
  0.17270000E-01  0.50440000E-01  0.74180000E-01  0.96760000E-01  0.10532000E+00  0.95250000E-01  0.15807000E+00  0.13448000E+00
  0.13730000E-01  0.44900000E-01  0.67700000E-01  0.90850000E-01  0.10916000E+00  0.10548000E+00  0.16311000E+00  0.13621000E+00
  0.10300000E-01  0.36280000E-01  0.57230000E-01  0.76430000E-01  0.10645000E+00  0.10490000E+00  0.16173000E+00  0.13662000E+00
  0.71600000E-02  0.26400000E-01  0.43510000E-01  0.57240000E-01  0.92550000E-01  0.90550000E-01  0.14910000E+00  0.13513000E+00
  0.63900000E-02  0.21000000E-01  0.33810000E-01  0.43360000E-01  0.66900000E-01  0.63580000E-01  0.11383000E+00  0.12565000E+00
  0.10330000E-01  0.30870000E-01  0.47630000E-01  0.60330000E-01  0.79540000E-01  0.73920000E-01  0.12746000E+00  0.12821000E+00
  0.11860000E-01  0.35640000E-01  0.54810000E-01  0.69850000E-01  0.90390000E-01  0.84160000E-01  0.14249000E+00  0.13525000E+00
  0.10270000E-01  0.33080000E-01  0.51810000E-01  0.67260000E-01  0.93240000E-01  0.88600000E-01  0.14871000E+00  0.14042000E+00
  0.67200000E-02  0.24090000E-01  0.39420000E-01  0.51680000E-01  0.83340000E-01  0.80720000E-01  0.14014000E+00  0.14357000E+00
  0.39200000E-02  0.14760000E-01  0.25320000E-01  0.32630000E-01  0.60850000E-01  0.58810000E-01  0.11230000E+00  0.14562000E+00
# <table of single-scattering albedo for water>
  0.99999900E+00  0.99999900E+00  0.99999900E+00  0.99999900E+00  0.99999800E+00  0.99999900E+00  0.99999800E+00  0.99999700E+00
  0.99975300E+00  0.99970000E+00  0.99966700E+00  0.99964600E+00  0.99949200E+00  0.99947000E+00  0.99934400E+00  0.99866700E+00
